ORGANIZATION,LOCATION,SERIES,MONEY,TEXT,URL,PERSON,O
,New York,,$200m,"Rent the Runway, a New York City-based provider of a platform for women to rent designer dresses, apparel and accessories, raised $200m in debt financing.",http://www.finsmes.com/2018/08/rent-the-runway-raises-200m-in-debt-financing.html,,"Rent the Runway , a City-based provider of a platform for women to rent designer dresses , apparel and accessories , raised in debt financing ."
Cushman & Wakefield plc,,,$17.00,"Cushman & Wakefield plc, a global real estate firm, priced its initial public offering of 45,000,000 of its ordinary shares, at a price to the public of $17.00 per share.",http://www.finsmes.com/2018/08/global-real-estate-firm-cushman-wakefield-launches-ipo.html,,", a global real estate firm , priced its initial public offering of 45,000,000 of its ordinary shares , at a price to the public of per share ."
"BioTime , Inc. Juvenescence",Alameda,,$43M,"BioTime, Inc. (NYSE American: BTX), an Alameda, CA-based clinical-stage biotechnology company focused on degenerative diseases, is to receive $43M from Juvenescence.",http://www.finsmes.com/2018/08/biotechnology-company-biotime-to-receive-43m-from-juvenescence.html,,"( NYSE American : BTX ) , an , CA-based clinical-stage biotechnology company focused on degenerative diseases , is to receive from ."
Karuna Pharmaceuticals,Boston,Series A,$42m,"Karuna Pharmaceuticals, a Boston, MA-based company focused on targeting muscarinic receptors for the treatment of disorders marked by psychosis and cognitive impairment, completed a $42m Series A financing.",http://www.finsmes.com/2018/08/karuna-pharmaceuticals-closes-42m-series-a-financing-round.html,,", a , MA-based company focused on targeting muscarinic receptors for the treatment of disorders marked by psychosis and cognitive impairment , completed a Series A financing ."
HP Inc. Apogee Corporation,Maidstone U.K.,,,"HP Inc. (NYSE: HPQ) is acquiring Apogee Corporation, a Maidstone, Kent, U.K. based office equipment dealer (OED) and a large independent provider of print, outsourced services, and document and process technology.",http://www.finsmes.com/2018/08/hp-to-acquire-uk-based-apogee-corporation-for-380m.html,Kent,"( NYSE : HPQ ) is acquiring , a , , based office equipment dealer ( OED ) and a large independent provider of print , outsourced services , and document and process technology ."
"Impact Therapeutics , Inc.",Nanjing,series C,$30m,"Impact Therapeutics, Inc., a Nanjing, China-based clinical-stage biopharmaceutical company dedicated to the discovery and development of medicine for the treatment of cancer and other life-threatening diseases, completed $30m series C financing.",http://www.finsmes.com/2018/08/impact-therapeutics-raises-30m-in-series-c-financing.html,,", a , China-based clinical-stage biopharmaceutical company dedicated to the discovery and development of medicine for the treatment of cancer and other life-threatening diseases , completed series C financing ."
,,Series F,$550m,"Peloton, a NYC-based global fitness technology company, raised $550m in Series F financing.",http://www.finsmes.com/2018/08/fitness-tech-company-peloton-raises-550m-in-series-f-funding.html,,"Peloton , a NYC-based global fitness technology company , raised in Series F financing ."
,,Series A,$6.7m,"Stampli, a Mountain View, CA-based interactive invoice management platform for mid and large enterprises, raised $6.7m in Series A financing.",http://www.finsmes.com/2018/08/invoice-management-company-stampli-raises-6-7m-in-series-a.html,,"Stampli , a Mountain View , CA-based interactive invoice management platform for mid and large enterprises , raised in Series A financing ."
Resurgens Technology Partners MSCI Inc. Investment Metrics,,,,"Resurgens Technology Partners, an Atlanta-based private equity investor, is to acquire InvestorForce from MSCI Inc. (NYSE: MSCI), and will merge it with its portfolio company, Investment Metrics.",http://www.finsmes.com/2018/08/resurgens-technology-partners-to-buy-investorforce-merges-it-with-investment-metrics.html,,", an Atlanta-based private equity investor , is to acquire InvestorForce from ( NYSE : MSCI ) , and will merge it with its portfolio company , ."
"Routeique , Inc. Lancaster Investments",Calgary,,,"Routeique, Inc., a Calgary, Canada-based closed a bridge funding from Lancaster Investments, in the form of a convertible debenture.",http://www.finsmes.com/2018/08/routeique-closes-bridge-funding-to-complete-strategic-acquisition.html,,", a , Canada-based closed a bridge funding from , in the form of a convertible debenture ."
,,,,"Cisco (NASDAQ: CSCO) is to acquire Duo Security, an Ann Arbor, Mich.-based provider of unified access security and multi-factor authentication delivered through the cloud.",http://www.finsmes.com/2018/08/cisco-to-acquire-duo-security-for-2-35-billion.html,Ann Arbor,"Cisco ( NASDAQ : CSCO ) is to acquire Duo Security , an , Mich.-based provider of unified access security and multi-factor authentication delivered through the cloud ."
,San Francisco,Series A,$6.5M,"Worklete, a San Francisco, CA-based digital health platform designed to prevent musculoskeletal injuries (MSIs) among labor intensive workforces, raised $6.5M in Series A funding.",http://www.finsmes.com/2018/08/worklete-raises-6-5m-series-a-funding-round.html,,"Worklete , a , CA-based digital health platform designed to prevent musculoskeletal injuries ( MSIs ) among labor intensive workforces , raised in Series A funding ."
The Heritage Group ( THG,,,,"Indianapolis based The Heritage Group (THG) has launched HG Ventures, a new corporate venture arm making investments that will position THG for future growth and business line expansion.",http://www.finsmes.com/2018/08/the-heritage-group-launches-corporate-venture-arm.html,,"Indianapolis based ) has launched HG Ventures , a new corporate venture arm making investments that will position THG for future growth and business line expansion ."
,,,$60M,"Namely, a NYC-based HR platform for mid-sized companies, completed a $60M growth financing round.",http://www.finsmes.com/2018/08/namely-raised-60m-in-growth-funding-appoints-elisa-steele-as-ceo.html,,"Namely , a NYC-based HR platform for mid-sized companies , completed a growth financing round ."
,Menlo Park,,$270m,"Felicis Ventures, a Menlo Park, California-based venture capital firm, closed its sixth fund, at $270m.",http://www.finsmes.com/2018/08/felicis-ventures-closes-sixth-venture-capital-fund-at-270m.html,,"Felicis Ventures , a , California-based venture capital firm , closed its sixth fund , at ."
,Los Angeles,,$4.2M,"WeeCare, a Los Angeles, CA-based early childcare access platform for caregivers to start and manage curriculum-based home daycares, raised $4.2M in seed funding.",http://www.finsmes.com/2018/08/weecare-raises-4-2m-in-seed-funding.html,,"WeeCare , a , CA-based early childcare access platform for caregivers to start and manage curriculum-based home daycares , raised in seed funding ."
Fenox Venture Capital,,,$50m,"Startup World Cup, a global startup pitch competition founded by Fenox Venture Capital, is launching a $50m fund.",http://www.finsmes.com/2018/08/startup-world-cup-launches-venture-capital-fund.html,,"Startup World Cup , a global startup pitch competition founded by , is launching a fund ."
